title,link,publish_date,scraped_date,text
EGX: Prime Holding to manage Ghazl El Mahalla IPO,https://www.african-markets.com/en/stock-markets/egx/egx-prime-holding-to-manage-ghazl-el-mahalla-ipo," February 11, 2021 8:00 PM",2022-10-13 03:44:37.134317,"Ghazl El Mahalla Sporting Club (Ghazl El Mahalla SC) closed an agreement with Prime Holding (PRMH) to manage its expected initial public offering (IPO) around the summertime, Masrawy cited Public Enterprises Minister Hisham Tawfik.
 
The sporting club will offer two-third of its shares on the Egyptian Exchange, with expected subscriptions of EGP 100 million.





Earlier, Tawfik announced that the club will go for IPO during the first quarter of 2021.
 
Prime Holding suffered a consolidated net loss of EGP 17.08 million during the first nine months of 2020, versus EGP 4.29 million in profit in the same period of 2019.
 
The listed company is engaged in the provision of several investments and financial services for corporations, institutions, government entities, and individuals within Egypt and abroad."
Letshego Namibia’s IPO already raising millions amid strong appetite for shares,https://www.african-markets.com/en/stock-markets/nsx/letshego-namibia-s-ipo-already-raising-millions-amid-strong-appetite-for-shares," September 21, 2017 5:04 PM",2022-10-13 03:44:37.743531,"Offers to buy shares in Letshego Namibia continue to be received ahead of the close of the offer period on September 22. Millions have already been raised in this historic Initial Product Offering (IPO), with people across Namibia showing incredible appetite to invest in Letshego Namibia shares.
 
Letshego Namibia’s story is about empowerment, via the solutions it provides, and now via Ekwafo Letu, as it offers 20 percent of the company’s shares for sale to the Namibian public.
 
Letshego believes that to be totally financially inclusive, it should offer Namibians the opportunity to be part of its growth. As Letshego grows, so shall ordinary Namibians’ wealth.
 
Letshego Namibia CEO, Ester Kali: “This is a platform for financial inclusion, and our objective from the onset was to ensure maximum citizen participation in this great opportunity for empowerment.

“This is with a particular focus on previously disadvantaged Namibians. The reception by Namibians has been strong, and we look forward to welcoming a great many new shareholders in this proudly Namibian business. This is our time. This is Ekwafo Letu.”
 
The opportunity for Namibians to buy shares is limited – the last day they can submit their offers to purchase Letshego Namibia shares is Friday, September 22.
 
The total value of the shares offered to the public is about N$470 million. When Kali first announced the floating of shares , she said it was done to ensure maximum public participation and ownership of the Letshego shares with priority for citizens.
 
She said citizen empowerment and potential for financial gain through share value growth and dividends are some of the benefits that could be gained through this opportunity.
 
“This is also an opportunity for us to raise the profile of Letshego in Namibia among members of the general public, investors and target markets within Namibia, and to accelerate the rate of economic growth by stimulating entrepreneurship and investment,” she stated.
 
LHN opened its doors in 2002 as Edu-Loan Namibia, providing consumer and micro-lending services. In August 2008, Letshego Holdings Limited, a Botswana Stock Exchange-listed entity, acquired 100 per cent of the company, soon after which the company re-branded to Letshego Financial Services Namibia.
 
Currently, the Botswana Stock Exchange-listed entity owns 65 per cent of shares in Letshego Namibia, whilst 15 per cent is retained by Kumwe Investments Holding.
 
The Bank of Namibia has given the foreign-owned bank until the 2020 to comply with requirements that locals should hold at least 40 percent equity in commercial lenders operating in the country. An individual will only be allowed to buy a minimum number of 200 shares, which means the least amount they can offer is N$940."
Egyptian Exchange: Ministry selects bank for Ghazl el Mahalla IPO,https://www.african-markets.com/en/stock-markets/egx/egyptian-exchange-ministry-selects-bank-for-ghazl-el-mahalla-ipo," December 01, 2020 4:42 PM",2022-10-13 03:44:39.062989,"ArabFinance: Egypt’s Ministry of Public Business Sector requested an investment bank to act as an adviser for the initial public offering (IPO) of Ghazl el Mahalla Company, Masrawy reported on November 30th.
 
The public business minister Hisham TawfiK did not disclose the name of the bank.





Tawfik said the official appointment for the listing process will take place within the coming days after receiving final approvals.
 
The ministry intends to list around 66% of the company on the Egyptian Exchange, according to the minister.
 
Earlier in November, TawfiK said he targets EGP 100 million from the first phase of the IPO."
Uganda's Cipla Quality Chemicals to offer 18% stake in September IPO,https://www.african-markets.com/en/stock-markets/use/uganda-s-cipla-quality-chemicals-to-offer-18-stake-in-september-ipo," August 03, 2018 10:11 AM",2022-10-13 03:44:41.300506,"The drugmaker Cipla Quality Chemical Industries Limited, controlled by the Indian pharmaceutical giant Cipla Limited, will become the ninth domestic company to list on the Uganda Securities Exchange next month, according to a preliminary prospectus of the company.
 
The prospectus reveals that the firm plans to sell an 18% stake in the company, which will be increased to 20% within 24 months after the initial public offering. The company’s board and shareholders agreed to tender 657,179,319 of the company’s 3,651,909,200 shares. With the firm’s authorised share capital currently at Shs45,648,865,000, it means that the issued shares are valued at Shs3,651,909,200 or Shs12.5 per share.
 
Emmanuel Katongole, the company’s executive chairman, said the offer “is a sale of shares by the selling shareholders” and is not aimed at raising capital. “The Company is well capitalised, is cash generative and has sufficient resources to self-fund its growth and, as such, does not anticipate the need to raise any primary capital at this time,” Mr Katongole said in a statement published in the prospectus.

The offer shares will comprise shares offered by Cipla EU, a United Kingdom subsidiary of Cipla Ltd, Capitalworks, a South African private equity firm, the three Ugandan founders, and Amistad, a Mauritius-registered company controlled by TLG Capital. Cipla EU is to sell all its shares, currently 11.25% of the company’s issued shares, while Capitalworks will see its stake reduce to 11.11% from the current 14.4%. Amistad’s stake will reduce by 1% to 11.50% after the offer.
 
The three Ugandan founders – Emmanuel Katongole, George Baguma, and Frederick Mutebi Kitaka – will each own 2.78% after the offer, from the current 3.60% each. Only Mediatab, a Mauritius-registered company wholly owned by Cipla Ltd, will retain the same stake, 51.05%, it currently owns after the initial public offering.
 
A preliminary prospectus is filed by a firm with the securities industry regulator before its initial public offering and is “intended to provide pertinent information to prospective shareholders about the company’s business, managers, strategic initiatives, financial statements, and ownership structure.”
 
The document is issued before the offering price is determined by the underwriter. The price will be determined after the book building process – in which the underwriter tries to determine the IPO price based on the demand of the shares from institutional investors – and will be included in the final prospectus, which is expected to be published on 10 August.
 
According to the preliminary prospectus, the book building for Cipla Quality Chemicals opened on 26 July and will close on 9 August. The IPO will open to retail investors on 13 August, allowing them to take part in the offer, and will close on 24 August. The company expects to be admitted to listing and trading on the USE on 24 September.
 
The Kenyan subsidiary of Renaissance Capital, the investment bank, is the lead advisor on the transaction as well as the sole underwriter, while Bowmans (AF Mpanga Advocates) was retained as legal counsel.
 
Other advisors are Ernst & Young Limited as reporting accountants, Standard Chartered Bank as the receiving bank, and C&R Group as registrar of the company. Crested Capital is the transaction’s lead sponsoring broker.
 
However, as is spelt out in the prospectus, those dates could be amended and extended if Cipla Quality Chemicals, the Uganda Securities Exchange, and the Capital Markets Authority agree."
Egypt's e-finance set to be offered in IPO by end of 2019,https://www.african-markets.com/en/stock-markets/egx/egypt-s-e-finance-set-to-be-offered-in-ipo-by-end-of-2019," September 10, 2019 4:30 PM",2022-10-13 03:44:42.078740,"Egypt’s first fin-tech company, e-finance, said it would be offered in an initial public offering (IPO) by the end of the year, Ibrahim Sarhan, head of e-finance said at the Euromoney Egypt Conference, held in Cairo on Monday. 
 
Sarhan said the company would fall under the IPO programme by the end of 2019 weeks after he told Ahram Online that the awaited offering was “subject to the government’s will… and not a final order.”
 
Last week Egypt said it was gearing up to implement the second wave of IPOs in September.





E-finance, which operates the government's financial network with a paid capital of EGP 500 million, will be the second company to be sold in an IPO after Banque du Caire.
 
Banque du Caire will offer a stake of its shares, ranging between 30 and 40 percent, which is expected to garner between $300 million and $400 million, CBE Governor Tarek Amer said in previous statements.
 
In 2016, Egypt announced the launch of the IPO programme by offering a portion of shares in state-owned companies on the EGX to revive the market as part of the country's economic reform programme.
 
The IPO programme aims to attract investments to the domestic market and make ultimate use of state assets.
 
The programme is scheduled to be fully implemented within three to five years over 23 companies and banks in various sectors, including real estate, services, petroleum, and chemicals, targeting to collect approximately EGP 8 billion, according to the initial statement of the fiscal year 2019/20 budget.
 
Egypt offered a stake of 4.5 percent of Eastern Company’s shares on the EGX with a total value of EGP 1.72 billion in March."
EFG Hermes concludes advisory on Macro Group’s EGP 1.3B IPO,https://www.african-markets.com/en/stock-markets/egx/efg-hermes-concludes-advisory-on-macro-group-s-egp-1-3b-ipo," February 10, 2022 11:11 AM",2022-10-13 03:44:42.946008,"The Investment Banking division of EFG Hermes Holding (HRHO) announced the completion of advisory on Macro Group Pharmaceutical’s (Macro Capital) (MCRO) EGP 1.3 billion initial public offering (IPO) on the Egyptian Exchange (EGX), according to an emailed press release on February 10th.
 
The IPO included a secondary sale of shares by the selling shareholder Leo 1 of up to 264.513 million existing shares, representing around 45.8% of the company’s outstanding share capital listed on the EGX.
 
The offering also covered a private placement to specific eligible investors in Egypt and several countries by 1.79x as well as a retail offering to retail investors in Egypt by 102.2x, with trading on Macro Group’s stock starting trading today under the ticker (MCRO.CA).
 





 
EFG Hermes’ Investment Banking division served as the sole global coordinator and joint bookrunner for the transaction.
 
“We’re delighted to have advised Macro Group on its IPO and the first in the Egyptian cosmeceutical space. The IPO highlights the rapid expansion of the industry as well as the growing demand for high-quality, innovative cosmeceutical products driven among Macro Group’s growing customer base,” EFG Hermes’ Co-Head of Investment Banking Mostafa Gad said.
 
Macro Group is one of the Egypt’s fast-growing companies in the cosmeceuticals sector, with a market share of 23.1% in 2020.
 
EFG Hermes is an EGX-listed company that has a presence in 13 countries, including the UAE, Saudi Arabia, Kuwait, Jordan, Oman, and Pakistan."
MTN opens biggest Ugandan IPO,https://www.african-markets.com/en/stock-markets/use/mtn-opens-biggest-ugandan-ipo," October 12, 2021 10:36 AM",2022-10-13 03:44:43.573406,"MTN Uganda Limited is pleased to announce the opening of its initial public offer (IPO) of 20% of its ordinary shares, following approvals by the Capital Markets Authority of Uganda (CMA) and the Uganda Securities Exchange (USE).
 
The secondary sale of 4.4 billion shares by the MTN Group will be at an offer price of UGX200 per share. The offer opens today, Monday 11 October 2021, and will close on Monday 22 November 2021. MTN Group currently holds 96% of MTN Uganda.
 
“With the opening of the IPO we are one step closer to our goal of broad ownership of our business across the Ugandan population,” said MTN Uganda Chief Executive Officer Wim Vanhelleputte. “Our m-IPO initiative is the country’s first paper-free IPO platform aimed at retail investors, in partnership with the USE, and will help position Uganda at the forefront of digitising the capital markets for Africa,” he added.
 





 
Yolanda Cuba, MTN Group Vice President for Southern and East Africa, said the IPO would give Ugandans an opportunity to participate in the ownership of their country’s leading mobile operator and, in doing so, help deepen Uganda’s capital markets.
 
“Today’s IPO is very clearly aligned with our Ambition 2025 strategic intent of leading digital solutions for Africa’s progress,” she said.
 
The offer aims to facilitate the broadest possible shareholder base in Uganda, with Ugandan Retail Investors making Applications for Offer Shares of an aggregate minimum value of UGX 5 million to be allocated the full number of Offer Shares for that minimum value applied for. A unique digital channel will be available to retail investors for IPO subscription: the m-IPO portal, accessible via USSD and via the MyMTN App. Traditional payment channels will also be available across Uganda at Stanbic Bank, Absa Bank and Standard Chartered Bank branches and authorized selling agents.
 
The IPO includes a broad share incentive scheme and Ugandan retail investors in particular using the m-IPO channel are eligible to receive 10 additional incentive shares for every 100 shares applied for and allocated in the IPO.
 
Following the successful completion of the offer, the company will list its entire ordinary share capital on the Main Investment Market Segment of the USE. This will meet the requirements of MTN Uganda’s licence, which require its listing by end-June 2022.
 
MTN Uganda started operating in 1998. In the first half of 2021, it had 14.9 million subscribers, 8.6 million Mobile Money users and 4.7 million active data users.
 
The dates noted in this announcement may be subject to change.
 
About MTN Uganda
MTN Uganda is a leading telecoms company in Uganda with a primary objective of carrying on the business of a national operator of a telecommunications network pursuant to the NTO licence granted by the UCC. Among our offerings are network services, digital and financial technology services, interconnect and roaming, sale of mobile devices and MTN Mobile Money (which is conducted through subsidiary MTN Mobile Money Uganda Limited). MTN has a presence in all 134 districts of Uganda. Our services are delivered through a network of 119 077 Mobile Money agents, 200 service stores and 13 main distributors. At end-June 2021, MTN Uganda had 14.9 million subscribers, 8.6 million MoMo users and 4.7 million active data users."
Egyptian Exchange: e-finance sets final price for IPO,https://www.african-markets.com/en/stock-markets/egx/egyptian-exchange-e-finance-sets-final-price-for-ipo," October 12, 2021 6:03 PM",2022-10-13 03:44:44.361307,"e-finance for Digital and Financial Investments (EFIH) has set the final price for its initial public offering (IPO) on the Egyptian Exchange (EGX) at EGP 13.98 per share, the company revealed in a filing to the EGX.
 
It is worth noting that the offering is open for subscriptions starting from Sunday, October 10th until Sunday, October 17th, 2021.





On Monday, the Financial Regulatory Authority (FRA) approved raising the number of e-finance’s offered shares for sale to 417.77 million, representing 26.1% of the company’s total shares.
 
e-finance previously reported a consolidated net profit attributable to the parent company of EGP 278.83 million in the first half (H1) of 2021.
 
Founded in 2005, e-finance is the first fintech platform in Egypt and a leading digital payment infrastructures’ developer."
MTN Ghana officially brings its IPO to a close,https://www.african-markets.com/en/stock-markets/gse/mtn-ghana-officially-brings-its-ipo-to-a-close," August 07, 2018 2:26 PM",2022-10-13 03:44:46.718693,"Telecommunication giants, MTN Ghana, has announced the closure of its Initial Public Share Offer (IPO), launched in May, to sell up to 4,637,394,533 ordinary shares, representing 35% of MTN Ghana.
 
The two-month offer period ended on Tuesday, 31st July 2018. Following the closure of the IPO, the applications received are currently being reviewed and collated for allotments to commence.

In a statement to officially announce the closure, CEO of MTN Ghana, Selorm Adadevoh expressed appreciation to Ghanaians who showed interest while assuring prospective owners of the company’s “commitment to work closely with them.”
 
In his words, “We are happy about the uptake of shares by a broad number of Ghanaians who took advantage of the various avenues provided, especially the MoMo Service to apply for shares. I am particularly excited about the fact that the MoMo Service paved the way for people in urban and rural communities to apply for shares”."
Nigeria’s IROKO to file for IPO on London Stock Exchange,https://www.african-markets.com/en/news/west-africa/nigeria/nigeria-s-iroko-to-file-for-ipo-on-london-stock-exchange," February 10, 2021 6:06 PM",2022-10-13 03:44:47.960085,"Nigerian-based media company, IROKO plans to go public on the London Stock Exchange Alternative Investment Market in 2022.
 
Founded in 2011 by Jason Njoku and Bastian Gotter, Iroko is one of Africa’s first mainstream online movie streaming websites, and it has the world’s largest online catalog of Nollywood films.
 
According to TheAfricaReport, the media company will raise between $20 million and $30 million valuing the company at $80 million to $100 million. Discussions with brokers will start in the coming weeks. Njoku holds a stake of 18% in the debt-free company.





In 2020, Irokotv planned to increase its average revenue per user in Africa from $7-8 to $20-25. It seemed the company was set to achieve that until the pandemic came. Consumer spending in Nigeria and other African markets reduced and subscriptions dropped by 70% but international subscribers grew by 200% during the lockdown hitting a $25-30 ARPU range.
 
Jason Njoku told TechCrunch that, “The costs of pursuing Africa growth is what was really resized dramatically. We were so focused on defending Africa and basically ended up doing nothing. Zero marketing or anything to drive that.
 
“We pulled back to focus on where our economics actually makes sense. Our international business organically grew double-digit in 2020 and we expect it to continue this way for the foreseeable future.”
 
Why London Stock Exchange?

IROKO makes 80% of its revenue outside Africa and listing on a foreign exchange will help consolidate its efforts. According to Njoku, the Nigerian Stock Exchange or other local exchanges do not have a history of listing early-stage tech companies; therefore, the London Stock Exchange makes more sense in the short term.
The company is focusing more on international subscribers primarily in the U.S and the U.K where it has been able to execute a 150% price increase from $25 per year to $60 per year without any negative impact.
The company is seeking a market cap of about $100 million, which is small for the primary market. This is why it is choosing to list on the Alternative Investment Market (AIM) of the LSE. A sub-market of the LSE, the AIM is built specifically for small-cap companies.

 
IROKO secured around $30 million in total during its Series E funding in January 2016 and it plans to raise less or a similar amount when going public in 2022.
 
The only company to have gone public from Nigeria is Jumia. Interswitch, a payment processing company valued at $1 billion is also planning to go public in the next 2 years."
"Digicut set to list on Ghana Stock Exchange, as IPO launched today",https://www.african-markets.com/en/stock-markets/gse/digicut-set-to-list-on-ghana-stock-exchange-as-ipo-launched-today," March 02, 2018 5:42 PM",2022-10-13 03:44:48.599674,"Digicut Production and Advertising, an advertising and a public relations business, is making sales of 30% of its stake available to the public through the issuance of the IPO and the subsequent listing on the Ghana Alternative Market (GAX).
 
The IPO is opened from 1st March and closes on 16th March 2018. The company is offering 35.67 million shares at a valuation of GHS0.08 per share to raise GHS2.85 million to pay debts, purchase new equipment and provide working capital as shown below.

DigiCut is a subsidiary of Groupe Nduom (GN), who shall maintain a majority shareholding of 70% of the company post IPO. Its main competitors include Farmhouse Productions and the AdVantange Group as well as outdoor advertising firms such as DDP Outdoor. DigiCut executes the advertising and public relations jobs for subsidiaries of Group Nduom such as GN Bank and FreshPak.
 
The IPO Prospectus can be found here."
Jumia files for IPO on New York Stock Exchange,https://www.african-markets.com/en/news/africa/jumia-files-for-ipo-on-new-york-stock-exchange," March 14, 2019 11:50 AM",2022-10-13 03:44:49.831768,"E-commerce firm Jumia has filed for an Initial Public Offering on the New York Stock Exchange (NYSE), which will make it the first African technology company to list on the exchange.
 
The timeline of the listing and share price  of the IPO has, however, not been stated in the SEC filing application.





In its  SEC filing documents, Jumia lists” continued losses as a lack of guarantee that it will achieve or sustain profitability or pay any cash dividends in the foreseeable future” as part of its risk factors to potential investors.
 
As of Dec. 31 2018, the filings show the company has accumulated losses of nearly $1 billion.
It was founded in Lagos in 2012 and is currently operating in 14 countries including Kenya, Morocco and Egypt.
 
Here are Jumia’s key shareholders as per the filing;

Meanwhile, Andre Iguodala, NBA player and member of the three-time reigning NBA champion Golden State Warriors, has joined the Board of Directors of Jumia."
